Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
2,1,3,2,2,-0.9620621050571134,-1.0561452163161844,2
2,1,2,2,1,-1.492087998620207,-1.5279569949698146,1
2,1,4,2,2,-1.0619267356937694,-0.2767252257207609,2
2,2,3,2,1,-1.0109542047861593,-0.3946242892664219,3
5,2,1,5,5,4.652464614145813,-2.706857172429847,7
4,4,3,3,3,2.8389758303497574,0.2587683288105022,5
3,3,5,3,2,0.9815813028975356,1.3695335103554664,3
4,2,2,2,2,0.6123535850671583,-0.6781118988442251,5
2,1,2,1,1,-2.0266875013983046,-1.2852000137549728,1
3,1,3,2,1,-1.145176311748407,-0.34676670789468433,3
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
4,2,5,1,1,-0.8517303338206572,2.210513266098681,2
4,2,5,3,2,0.8473591959352877,1.4173910917272041,3
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,2
3,1,3,1,1,-1.6797758145265047,-0.10400972667984261,1
3,3,5,3,3,1.6114718270972854,1.0619252984136731,4
2,1,4,1,1,-2.226416762671617,0.2736399674358742,1
2,1,4,3,1,-1.1572177571154216,-0.21187399499380932,2
2,1,1,1,1,-1.9268228707616484,-2.0646200043503966,2
3,1,4,2,1,-1.2450409423850632,0.43265328270073933,2
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,2
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
5,3,5,3,2,1.8751339379144476,2.1730741033148804,3
5,2,3,2,2,0.9592652719389584,0.5030783882309053,5
4,2,5,2,1,-0.3171308310425597,1.9677562848838392,3
4,2,3,3,1,0.41719793300885005,0.16615932247815016,3
4,3,3,3,2,1.6280868816793037,0.21246382564432614,4
2,1,3,2,2,-0.9620621050571134,-1.0561452163161844,2
4,2,2,4,2,1.6815525906233535,-1.1636258612739085,3
2,1,3,1,2,-1.496661607835211,-0.8133882351013428,2
4,2,3,2,2,0.5124889544305022,0.10130809175119854,3
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
4,1,1,2,1,-0.4986707329666393,-1.5038363926058245,2
2,2,2,2,2,-0.28119904994975364,-1.4816524918036387,3
2,1,3,2,1,-1.591952629256863,-0.7485370043743911,1
4,1,2,2,2,0.03135516059645453,-1.0320246139521942,2
5,5,4,4,2,3.671594920270609,1.8587225617205534,5
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,2
3,1,4,3,1,-0.7104414396069658,0.18989630148589756,2
3,1,4,2,1,-1.2450409423850632,0.43265328270073933,2
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,3
5,5,5,3,2,3.0371307868558555,2.880899533530819,4
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,2
4,2,5,2,1,-0.3171308310425597,1.9677562848838392,2
3,3,5,2,2,0.44698180011943806,1.6122904915703082,3
4,2,4,1,1,-0.7518657031840011,1.4310932755032573,2
3,2,2,2,2,0.16557726755870242,-1.079882195323932,3
4,2,4,2,2,0.41262432379384617,0.8807280823466221,3
3,2,2,2,2,0.16557726755870242,-1.079882195323932,3
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,1
3,2,4,1,1,-1.198642020692457,1.0293229790235505,2
2,2,5,2,2,-0.5807929418597217,0.8566074799826319,2
3,2,3,3,1,-0.029578384499605922,-0.23561097400155678,3
2,2,5,1,1,-1.745282968837569,1.406972673139267,2
2,2,5,2,4,0.6789881065397779,0.24139105609904518,4
3,2,2,1,1,-0.998912759419145,-0.5295170021672969,2
3,2,2,3,2,0.7001767703368,-1.3226391765387737,3
4,3,3,3,2,1.6280868816793037,0.21246382564432614,4
3,2,4,1,1,-1.198642020692457,1.0293229790235505,2
3,2,2,2,2,0.16557726755870242,-1.079882195323932,2
