Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,PCA3,PCA4,Job_Satisfaction_V44
4,2,5,2,3,1.39357726411184,1.103614913324254,1.2413854441729302,-0.5430548588683798,3
4,1,5,2,2,0.10690557244667147,0.9626469883085843,1.002752471366562,-1.4557658132800666,3
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,-0.19233991804873266,-1.269351860609498,2
2,2,5,2,1,-0.8941148933966399,1.0422618298314874,0.948098864356626,0.5988695728942243,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,-0.21527667831224997,0.06531172506287418,1
5,2,3,3,2,1.8566727329940313,0.015291482641955867,-0.6793081781103152,-1.1463940533919414,3
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,0.8375209297105611,0.5691187420119522,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,0.7181629085815951,-0.07532387404077341,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,5
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,0.8375209297105611,0.5691187420119522,1
4,2,3,2,1,0.024042089339927717,0.3138732775660945,-1.1574963516889962,-0.4087444610039316,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,3
4,3,4,3,1,1.1770639184780591,1.163844827318798,-0.5916670037277678,0.21802036316270282,4
4,2,2,1,1,-0.5959090555394638,-0.07343477540670128,-2.086587430067173,-0.14885010816193955,3
5,3,4,1,3,1.696941874839,1.5313424706419876,-0.5062187779373581,0.006484677697876458,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,0.38226951639539725,-0.0278952512724101,2
